Title,Comprehensive_Description,Description,Need,Idea,Technology,Comments,Client,Client_Brandmark,Patent,Image,Domains,URL,Start,End,Contribution,Status,TRL,Stage,Arena,Tags
Accelerated drying of wood with microwaves,"Sensor enabled microwave chamber for safely drying fresh cut timber in 10% of usual drying time.
Contribution: Design, Development, Experiments
Technology Readiness Level: 7
Client: Torchwood (EU FP7)
Patent: No
Status: Prototype
Need: 
Idea: 
Technology: 
Comments: ",Sensor enabled microwave chamber for safely drying fresh cut timber in 10% of usual drying time.,,,,,Torchwood (EU FP7),eu_fp7.jpg,No,torchwood.jpg,"Energy, Water",http://cordis.europa.eu/result/rcn/58237_en.html,October 2010,March 2011,"Design, Development, Experiments",Prototype,7,Application,Corporate,"Energy, Water,Design, Development, Experiments,Prototype,TRL7,Application,Corporate"
Microwave assisted flood remediation,"Safe and rapid drying of flood affected properties using combination of microwave and traditional techniques.
Contribution: Design, Development, Experiments, Supply Chain
Technology Readiness Level: 8
Client: Microdry (EU FP7)
Patent: No
Status: Released
Need: 
Idea: 
Technology: 
Comments: ",Safe and rapid drying of flood affected properties using combination of microwave and traditional techniques.,,,,,Microdry (EU FP7),eu_fp7.jpg,No,microdry.jpg,"Energy, Water",http://cordis.europa.eu/project/rcn/107639_en.html,October 2010,February 2012,"Design, Development, Experiments, Supply Chain",Released,8,Application,Corporate,"Energy, Water,Design, Development, Experiments, Supply Chain,Released,TRL8,Application,Corporate"
Polymer based FSS and radar absorber,"Lightweight frequency selective surface made from polyaniline that acts as a radar absorber - designed for wind turbine and drone blades.
Contribution: Design, Development, Experiments, Writing
Technology Readiness Level: 5
Client: Osgram (EU FP7)
Patent: No
Status: Prototype
Need: 
Idea: 
Technology: 
Comments: ",Lightweight frequency selective surface made from polyaniline that acts as a radar absorber - designed for wind turbine and drone blades.,,,,,Osgram (EU FP7),eu_fp7.jpg,No,osgram.png,Energy,http://cordis.europa.eu/project/rcn/92308_en.html,October 2010,August 2011,"Design, Development, Experiments, Writing",Prototype,5,Technology,Corporate,"Energy,Design, Development, Experiments, Writing,Prototype,TRL5,Technology,Corporate"
Low power phase conjugating receiver,"A combination of Van Atta array and PLLs to reduce power consumption while achieving consistent phase conjugation.
Contribution: Design, Development, Writing
Technology Readiness Level: 3
Client: ECIT, Queen's University of Belfast
Patent: No
Status: Concept
Need: 
Idea: 
Technology: 
Comments: ",A combination of Van Atta array and PLLs to reduce power consumption while achieving consistent phase conjugation.,,,,,"ECIT, Queen's University of Belfast",ecit.gif,No,van_atta_pll.png,Communication,http://www.ecit.qub.ac.uk/,June 2010,June 2010,"Design, Development, Writing",Concept,3,Technology,Academia,"Communication,Design, Development, Writing,Concept,TRL3,Technology,Academia"
Near field imaging,"Non-resonant slot structures to focus energy in near field for imaging applications
Contribution: Design, Development, Experiments, Writing
Technology Readiness Level: 4
Client: ECIT, Queen's University of Belfast
Patent: No
Status: Prototype
Need: 
Idea: 
Technology: 
Comments: ",Non-resonant slot structures to focus energy in near field for imaging applications,,,,,"ECIT, Queen's University of Belfast",ecit.gif,No,near_field_imaging.jpg,Electronics,http://www.ecit.qub.ac.uk/,December 2009,July 2010,"Design, Development, Experiments, Writing",Prototype,4,Technology,Academia,"Electronics,Design, Development, Experiments, Writing,Prototype,TRL4,Technology,Academia"
GUI programmer for PIC10F200 and ADF4106 PLL,"A QT based GUI for selecting the configuration, generating the assembly code, compiling and linking to HEX and flashing to the chip. Written to allow non-coder colleagues to configure and play with the dev board themselves.
Contribution: Design, Development
Technology Readiness Level: 7
Client: ECIT, Queen's University of Belfast
Patent: No
Status: Released
Need: 
Idea: 
Technology: 
Comments: ","A QT based GUI for selecting the configuration, generating the assembly code, compiling and linking to HEX and flashing to the chip. Written to allow non-coder colleagues to configure and play with the dev board themselves.",,,,,"ECIT, Queen's University of Belfast",ecit.gif,No,easypic.jpg,Software,https://code.google.com/archive/p/easypic/,December 2009,December 2009,"Design, Development",Released,7,Application,Academia,"Software,Design, Development,Released,TRL7,Application,Academia"
Reflection amplifier,"MMIC reflection amplifier for microwave fence applications
Contribution: Writing, Experiments
Technology Readiness Level: 7
Client: ECIT, Queen's University of Belfast
Patent: No
Status: Released
Need: 
Idea: 
Technology: 
Comments: ",MMIC reflection amplifier for microwave fence applications,,,,,"ECIT, Queen's University of Belfast",ecit.gif,No,reflection_amplifier.png,Electronics,http://www.ecit.qub.ac.uk/,October 2009,April 2010,"Writing, Experiments",Released,7,Technology,Academia,"Electronics,Writing, Experiments,Released,TRL7,Technology,Academia"
Touchscreen GUI for food ordering,"Nifty Nosh were a new startup changing the way people ordered food. We customised and documented the wireless GNU//Linux OS that powered their touch screen devices at restaurants.
Contribution: Development
Technology Readiness Level: 7
Client: Nifty Nosh
Patent: No
Status: Released
Need: 
Idea: 
Technology: 
Comments: ",Nifty Nosh were a new startup changing the way people ordered food. We customised and documented the wireless GNU//Linux OS that powered their touch screen devices at restaurants.,,,,,Nifty Nosh,nifty_nosh.gif,No,nifty_nosh.gif,Software,https://www.just-eat.co.uk/,Feb 2008,Jul 2008,Development,Released,7,Application,Startup,"Software,Development,Released,TRL7,Application,Startup"
Touchscreen GUI for sphygmomanometer,"Marturion built a digital sphygmomanometer and approached us to design and code the UI for a touch screen interface. This was before the launch of consumer tablets.
Contribution: Development
Technology Readiness Level: 7
Client: Marturion
Patent: No
Status: Released
Need: 
Idea: 
Technology: 
Comments: ",Marturion built a digital sphygmomanometer and approached us to design and code the UI for a touch screen interface. This was before the launch of consumer tablets.,,,,,Marturion,maturion.png,No,gui_sphygmomanometer.png,Software,http://marturion.com,October 2007,April 2008,Development,Released,7,Application,Startup,"Software,Development,Released,TRL7,Application,Startup"
Reconfigurable impedance tuner,"Low loss SMD impedace tuner for covering complete Smith Chart. Multiple applications like tunable antennas and amplifiers, low loss/low profile circulator, backscatter modulated RFID tag, amplitude and phase controlled reflectarray and vector modulator
Contribution: Design, Development, Experiments, Writing
Technology Readiness Level: 5
Client: ECIT, Queen's University of Belfast
Patent: No
Status: Prototype
Need: 
Idea: 
Technology: 
Comments: ","Low loss SMD impedace tuner for covering complete Smith Chart. Multiple applications like tunable antennas and amplifiers, low loss/low profile circulator, backscatter modulated RFID tag, amplitude and phase controlled reflectarray and vector modulator",,,,,"ECIT, Queen's University of Belfast",ecit.gif,No,tuner_backed_patch.png,Electronics,http://www.ecit.qub.ac.uk/,September 2006,Sept 2009,"Design, Development, Experiments, Writing",Prototype,5,Technology,Academia,"Electronics,Design, Development, Experiments, Writing,Prototype,TRL5,Technology,Academia"
Miniature Broadside Coupler,"Low loss broadside coupler with SMD pads
Contribution: Design, Development, Experiments, Writing
Technology Readiness Level: 7
Client: ECIT, Queen's University of Belfast
Patent: No
Status: Released
Need: 
Idea: 
Technology: 
Comments: ",Low loss broadside coupler with SMD pads,,,,,"ECIT, Queen's University of Belfast",ecit.gif,No,broadside_coupler.png,Electronics,http://www.ecit.qub.ac.uk/,September 2006,May 2007,"Design, Development, Experiments, Writing",Released,7,Technology,Academia,"Electronics,Design, Development, Experiments, Writing,Released,TRL7,Technology,Academia"
Road surface imaging using polarimetry and holography,"A combination of polarimetry and holography to improve imaging resolution and achieve infinite depth of field.
Contribution: Design, Development
Technology Readiness Level: 4
Client: ECIT, Queen's University of Belfast
Patent: No
Status: Abandoned
Need: 
Idea: 
Technology: 
Comments: ",A combination of polarimetry and holography to improve imaging resolution and achieve infinite depth of field.,,,,,"ECIT, Queen's University of Belfast",ecit.gif,No,road_surface_imaging.jpg,Electronics,http://www.ecit.qub.ac.uk/,September 2006,September 2007,"Design, Development",Abandoned,4,Technology,Academia,"Electronics,Design, Development,Abandoned,TRL4,Technology,Academia"
Pingu Linux,"Multi-distro GNU/Linux installer with local network repositories
Contribution: Writing, Experiments
Technology Readiness Level: 7
Client: IIT Kharagpur
Patent: No
Status: Released
Need: 
Idea: 
Technology: 
Comments: ",Multi-distro GNU/Linux installer with local network repositories,,,,,IIT Kharagpur,iit_kharagpur.png,No,pingu.png,Education,,July 2005,December 2005,"Writing, Experiments",Released,7,Market,Academia,"Education,Writing, Experiments,Released,TRL7,Market,Academia"
Telecom surge protector,"20kV varistor based surge protector with RJ11 connector for household telephones
Contribution: Design, Development
Technology Readiness Level: 5
Client: 
Patent: No
Status: Prototype
Need: 
Idea: 
Technology: 
Comments: ",20kV varistor based surge protector with RJ11 connector for household telephones,,,,,,,No,surge_protector.jpg,Communication,,Aug 2003,April 2004,"Design, Development",Prototype,5,Application,Academia,"Communication,Design, Development,Prototype,TRL5,Application,Academia"
